City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mabaruma,8.2,-59.7833,30.75,61,46,3.73,GY,1691691168
83,utrik,11.2278,169.8474,27.65,71,56,6.26,MH,1691691168
84,puerto armuelles,8.2833,-82.8667,31.99,91,69,1.34,PA,1691691169
85,puerto ayora,-0.7393,-90.3518,28.98,96,81,1.34,EC,1691690956
86,bodaybo,57.8506,114.1933,16.76,98,100,0.91,RU,1691691169
87,san antonio de pale,-1.4014,5.6325,23.78,86,94,4.96,GQ,1691691036
88,praia da vitoria,38.7333,-27.0667,26.14,73,40,3.34,PT,1691691169
89,richfield,44.8833,-93.283,26.43,51,75,2.06,US,1691691169
90,woking,51.319,-0.5589,25.48,59,20,5.14,GB,1691691169
91,bethel,41.3712,-73.414,24.69,82,100,1.54,US,1691690908
92,anloga,5.7947,0.8973,25.25,83,70,6.17,GH,1691691169
93,kapuskasing,49.4169,-82.4331,18.05,68,75,3.09,CA,1691691170
94,lebu,-37.6167,-73.65,10.81,85,20,6.69,CL,1691691170
95,egilsstadir,65.2653,-14.3948,10.95,71,75,6.17,IS,1691691170
96,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,7.2,EC,1691691170
97,fort mcmurray,56.7268,-111.381,14.73,100,100,4.63,CA,1691691024
98,ugoofaaru,5.6667,73.0,28.32,78,95,7.55,MV,1691691170
99,shiloh,38.5614,-89.8973,30.87,64,75,2.06,US,1691691170
100,concepcion,-36.827,-73.0498,13.89,72,75,8.75,CL,1691691170
101,hammerfest,70.6634,23.6821,26.25,57,75,3.6,NO,1691690979
102,sisimiut,66.9395,-53.6735,7.14,88,100,2.33,GL,1691691170
103,celestun,20.8667,-90.4,32.52,61,0,3.25,MX,1691691170
104,port alfred,-33.5906,26.891,17.32,92,0,0.45,ZA,1691691170
105,kodungallur,10.2167,76.2167,26.0,93,100,2.12,IN,1691691170
106,west bay,19.3667,-81.4167,31.04,88,75,2.57,KY,1691691171
107,dili,-8.5586,125.5736,23.78,63,12,2.43,TL,1691691031
108,zarghun shahr,32.8473,68.4457,25.9,33,31,4.97,AF,1691691171
109,cananea,30.95,-110.3,31.41,30,100,1.55,MX,1691691171
110,saint-philippe,-21.3585,55.7679,20.77,80,39,1.81,RE,1691691171
111,kupang,-10.1667,123.5833,23.31,80,47,4.73,ID,1691691171
112,polovinnoye,54.7914,65.9864,16.88,47,71,6.0,RU,1691691171
113,zhob,31.3411,69.4481,30.64,40,71,2.72,PK,1691691171
114,coxen hole,16.3244,-86.5366,31.6,66,0,5.66,HN,1691691171
115,al qadarif,14.0349,35.3834,27.58,70,98,4.04,SD,1691691171
116,jamestown,42.097,-79.2353,24.45,66,100,5.66,US,1691690914
117,ilulissat,69.2167,-51.1,8.01,71,75,2.06,GL,1691691172
118,marshfield,44.6689,-90.1718,25.49,49,0,5.14,US,1691691172
119,constantia,44.1833,28.65,23.38,59,100,3.36,RO,1691690989
120,avarua,-21.2078,-159.775,23.03,83,75,7.2,CK,1691691172
121,es castell,39.8795,4.2854,27.38,78,20,3.09,ES,1691691172
122,college,64.8569,-147.8028,20.11,95,100,0.0,US,1691690926
123,talnakh,69.4865,88.3972,12.34,66,52,8.43,RU,1691690966
124,bondo,3.8146,23.6866,21.45,96,93,0.47,CD,1691691172
125,st. john's,47.5649,-52.7093,20.38,93,100,0.89,CA,1691690975
126,puerto natales,-51.7236,-72.4875,3.87,92,100,3.08,CL,1691691172
127,moapa valley,36.5805,-114.4703,32.29,35,76,0.73,US,1691691172
128,bredasdorp,-34.5322,20.0403,13.52,73,0,0.21,ZA,1691691172
129,margaret river,-33.95,115.0667,13.0,72,63,2.48,AU,1691691172
130,baturaja,-4.1333,104.1667,22.07,88,31,1.18,ID,1691691173
131,mount gambier,-37.8333,140.7667,8.73,92,94,2.42,AU,1691691173
132,kargasok,59.0556,80.8572,11.26,95,100,4.41,RU,1691691173
133,bilibino,68.0546,166.4372,8.69,83,99,2.0,RU,1691691173
134,paita,-5.0892,-81.1144,24.97,68,48,6.49,PE,1691691173
135,trairi,-3.2778,-39.2689,29.31,55,39,7.29,BR,1691691054
136,kangding,30.0513,101.9603,17.35,93,94,0.96,CN,1691691173
137,thompson,55.7435,-97.8558,19.09,45,75,1.54,CA,1691691173
138,kourou,5.1552,-52.6478,32.03,58,11,4.07,GF,1691691173
139,johnstown,40.3267,-78.922,23.71,91,100,6.17,US,1691691173
140,kalemie,-5.9475,29.1947,23.13,59,0,1.72,CD,1691691173
141,kavaratti,10.5669,72.642,28.17,77,100,7.12,IN,1691690932
142,san patricio,28.017,-97.5169,37.4,39,6,8.12,US,1691691174
143,san andres,12.5847,-81.7006,32.01,70,20,4.63,CO,1691691174
144,agat village,13.3886,144.6585,26.52,92,100,2.57,GU,1691691174
145,prince george,53.9166,-122.753,19.58,52,75,4.12,CA,1691691174
146,mana,5.6592,-53.7767,29.89,62,41,4.6,GF,1691691174
147,kalabo,-14.97,22.6814,20.13,25,0,1.96,ZM,1691691174
148,nurota,40.5614,65.6886,29.14,25,0,3.83,UZ,1691691174
149,queenstown,-31.8976,26.8753,14.18,42,0,2.93,ZA,1691690924
150,gizo,-8.103,156.8419,26.04,83,100,11.82,SB,1691691174
151,preobrazheniye,42.9019,133.9064,18.72,94,100,7.87,RU,1691691137
152,badger,64.8,-147.5333,20.07,94,100,0.0,US,1691690933
153,santa marta,11.2408,-74.199,32.72,72,100,0.45,CO,1691690976
154,palikir - national government center,6.9248,158.1611,24.41,100,100,1.54,FM,1691690994
155,lihue,21.9789,-159.3672,27.77,73,20,5.66,US,1691691031
156,kruisfontein,-34.0033,24.7314,20.39,26,2,4.96,ZA,1691691175
157,kabin buri,13.9511,101.7177,26.95,89,79,0.63,TH,1691691175
158,iskateley,67.6803,53.1512,12.25,77,1,3.65,RU,1691691175
159,hit,33.6416,42.8251,39.47,14,0,5.62,IQ,1691691175
160,dennery,13.8996,-60.8879,32.05,79,40,8.23,LC,1691691175
161,santo augusto,-27.8508,-53.7772,21.53,79,93,4.4,BR,1691691080
162,severo-yeniseyskiy,60.3725,93.0408,12.58,90,100,1.68,RU,1691691175
163,tarawa,1.419,172.984,27.05,89,20,0.51,KI,1691691175
164,keflavik,64.0049,-22.5624,18.95,82,75,5.66,IS,1691691175
165,tindouf,27.6711,-8.1474,45.25,6,40,7.2,DZ,1691691175
166,riberalta,-10.9833,-66.1,39.09,23,55,1.74,BO,1691691176
167,whitehorse,60.7161,-135.0538,17.28,62,95,2.24,CA,1691691176
168,kingston,17.997,-76.7936,32.53,70,20,10.29,JM,1691691176
169,vorkuta,67.5,64.0,8.6,91,24,3.41,RU,1691691176
170,kapa'a,22.0752,-159.319,28.18,79,20,5.66,US,1691691176
171,aioun,16.6614,-9.6149,39.38,21,62,6.07,MR,1691691176
172,dryden,49.7833,-92.7503,17.16,67,75,2.06,CA,1691691176
173,klyuchi,52.2667,79.1667,18.07,86,97,3.05,RU,1691690983
174,mumbwa,-14.9783,27.0619,16.96,36,7,1.96,ZM,1691691176
